date,time,open,high,low,close,vol
2013.04.18,20:30,1.30760,1.30760,1.30740,1.30760,7
2013.04.18,20:35,1.30750,1.30770,1.30740,1.30760,14
2013.04.18,20:40,1.30770,1.30770,1.30730,1.30740,12
2013.04.18,20:45,1.30730,1.30730,1.30700,1.30710,9
2013.04.18,20:50,1.30720,1.30720,1.30650,1.30660,24
2013.04.18,20:55,1.30650,1.30660,1.30580,1.30620,22
2013.04.18,21:00,1.30630,1.30640,1.30510,1.30510,41
2013.04.18,21:05,1.30500,1.30510,1.30450,1.30460,31
2013.04.18,21:10,1.30470,1.30480,1.30420,1.30470,31
2013.04.18,21:15,1.30480,1.30510,1.30440,1.30470,44
2013.04.18,21:20,1.30480,1.30490,1.30420,1.30490,54
2013.04.18,21:25,1.30480,1.30520,1.30460,1.30510,22
2013.04.18,21:30,1.30520,1.30570,1.30500,1.30540,31
2013.04.18,21:35,1.30530,1.30550,1.30530,1.30550,7
2013.04.18,21:40,1.30540,1.30550,1.30500,1.30500,23
2013.04.18,21:45,1.30510,1.30510,1.30460,1.30480,30
2013.04.18,21:50,1.30470,1.30500,1.30460,1.30500,14
2013.04.18,21:55,1.30490,1.30490,1.30460,1.30490,39
2013.04.18,22:00,1.30480,1.30480,1.30460,1.30470,12
2013.04.18,22:05,1.30480,1.30490,1.30470,1.30490,14
2013.04.18,22:10,1.30500,1.30550,1.30500,1.30550,16
2013.04.18,22:15,1.30540,1.30550,1.30520,1.30540,13
2013.04.18,22:20,1.30550,1.30560,1.30530,1.30540,16
2013.04.18,22:25,1.30550,1.30550,1.30530,1.30530,15
2013.04.18,22:30,1.30540,1.30570,1.30540,1.30550,16
2013.04.18,22:35,1.30540,1.30550,1.30520,1.30530,16
2013.04.18,22:40,1.30540,1.30540,1.30520,1.30530,16
2013.04.18,22:45,1.30520,1.30560,1.30520,1.30550,16
2013.04.18,22:50,1.30540,1.30550,1.30540,1.30540,5
2013.04.18,22:55,1.30530,1.30530,1.30500,1.30500,16
2013.04.18,23:00,1.30510,1.30510,1.30500,1.30510,3
2013.04.18,23:05,1.30500,1.30520,1.30500,1.30520,9
2013.04.18,23:10,1.30510,1.30530,1.30500,1.30510,13
2013.04.18,23:15,1.30500,1.30510,1.30480,1.30490,10
2013.04.18,23:20,1.30480,1.30490,1.30480,1.30480,5
2013.04.18,23:25,1.30490,1.30490,1.30470,1.30480,10
2013.04.18,23:30,1.30470,1.30480,1.30470,1.30470,5
2013.04.18,23:35,1.30480,1.30480,1.30460,1.30470,4
2013.04.18,23:40,1.30480,1.30480,1.30470,1.30470,6
2013.04.18,23:45,1.30480,1.30480,1.30470,1.30480,11
2013.04.18,23:50,1.30490,1.30490,1.30470,1.30480,6
2013.04.18,23:55,1.30470,1.30520,1.30470,1.30490,17
2013.04.19,00:00,1.30500,1.30520,1.30480,1.30500,11
2013.04.19,00:05,1.30510,1.30520,1.30480,1.30490,21
2013.04.19,00:10,1.30480,1.30490,1.30480,1.30480,3
2013.04.19,00:15,1.30490,1.30490,1.30480,1.30480,8
2013.04.19,00:20,1.30490,1.30490,1.30480,1.30480,6
2013.04.19,00:25,1.30470,1.30520,1.30470,1.30520,10
2013.04.19,00:30,1.30510,1.30520,1.30490,1.30490,39
2013.04.19,00:35,1.30500,1.30520,1.30480,1.30510,24
2013.04.19,00:40,1.30520,1.30530,1.30490,1.30500,49
2013.04.19,00:45,1.30510,1.30530,1.30500,1.30530,25
2013.04.19,00:50,1.30520,1.30540,1.30450,1.30480,51
2013.04.19,00:55,1.30490,1.30510,1.30490,1.30490,23
2013.04.19,01:00,1.30510,1.30550,1.30510,1.30530,22
2013.04.19,01:05,1.30520,1.30530,1.30510,1.30530,4
2013.04.19,01:10,1.30520,1.30530,1.30520,1.30520,3
2013.04.19,01:15,1.30510,1.30530,1.30510,1.30510,9
2013.04.19,01:20,1.30520,1.30530,1.30510,1.30530,10
